id,cumulative_sum
0,0.002293799502207719
1,0.008924063637294746
2,0.013225321723534699
3,0.01804450258492727
4,0.023040600837188178
5,0.02663303471418408
6,0.028912850173168702
7,0.0405040284798006
8,0.043997718761071336
9,0.045916044564506035
10,0.05454713876160823
11,0.059318380441187084
12,0.0630973537571406
13,0.07315571842082018
14,0.07612340340654329
15,0.07613985656697887
16,0.07786428741024992
17,0.08032495460865494
18,0.0824312738494252
19,0.08338080908657243
20,0.08429553389196554
21,0.09072386331115208
22,0.09335199691096886
23,0.09333996880906015
24,0.09452227208065174
25,0.09823675629207797
26,0.10020015604522868
27,0.10354754843088411
28,0.10757481335219937
29,0.1087545507443005
30,0.1162173572447307
31,0.1164233861348543
32,0.11839371376262932
33,0.1218630709533987
34,0.12511411456418672
35,0.12517153626715358
36,0.12901273216075115
37,0.13087683237762046
38,0.13362581890143865
39,0.1380308240484102
40,0.13945226728851418
41,0.14139244583227611
42,0.14415109716884175
43,0.1453569210024294
44,0.14686068620951948
45,0.15269304735238476
46,0.15283980442627834
47,0.15452390819689074
48,0.15560828040126248
49,0.15687068187761513
50,0.1569097147775669
51,0.1581216539572735
52,0.15814430799314436
53,0.15919434017700193
54,0.15944788060235748
55,0.15965463649167005
56,0.16187659136814445
57,0.1637885452375111
58,0.16704283896232042
59,0.16805126113377408
60,0.16941279108777546
61,0.1705850874293542
62,0.17118792958267992
63,0.17203530005144804
64,0.17342364344612488
65,0.173846318094561
66,0.17587613136185687
67,0.17594484293458182
68,0.1774528418428312
69,0.17778896082312193
70,0.17883557183432552
71,0.18126266877606345
72,0.18357746572543493
73,0.18361183727764566
74,0.18532600460295479
75,0.18694390868271288
76,0.18830642222385227
77,0.1897091345436758
78,0.1913762179803347
79,0.19154127832792703
80,0.1935869145187475
81,0.19353721075298694
82,0.1951750859281126
83,0.19776999138852772
84,0.1983548723854201
85,0.19938655853092074
86,0.20033840305960943
87,0.20045402746235189
88,0.20314344281733288
89,0.20425723710652874
90,0.20636817493038187
91,0.20746358041656268
92,0.20990333569712033
93,0.21058229894199684
94,0.21355969150512558
95,0.2139382330263255
96,0.21577718762418815
97,0.2167634149380492
98,0.22019197464492002
99,0.2220773288969021
100,0.22398616094622203
101,0.22536171770810468
102,0.22559644168386342
103,0.22668727135161953
104,0.22668328300544766
105,0.22939134375139275
106,0.22963013036967808
107,0.23072570691449157
108,0.23181072058873595
109,0.23195456966587366
110,0.232143877574651
111,0.232082798409816
112,0.2321552305078021
113,0.23424298988692457
114,0.23532590809291842
115,0.23539517560619963
116,0.23627444850996598
117,0.23637899686624123
118,0.24046750077806253
119,0.24156217926505436
120,0.2416140843271167
121,0.24158011795556436
122,0.24490219366358046
123,0.2529258586559706
124,0.2558676282588399
125,0.25620947770332597
126,0.25636119547756786
127,0.25801899898340286
128,0.25912278634258584
129,0.2591393250323378
130,0.26003185498013826
131,0.26075165847357157
132,0.26071482686992153
133,0.26264692289328845
134,0.2637064060666026
135,0.265983954998704
136,0.26707085031790806
137,0.26751088741756307
138,0.2678518388042275
139,0.2699458418234435
140,0.27122098716793214
141,0.2721400312038009
142,0.2764513389847119
143,0.27638983217329516
144,0.27718438828921765
145,0.2776288729133228
146,0.27758113632183823
147,0.2775227940951265
148,0.27747082380248267
149,0.2790605887371619
150,0.27900378603814435
151,0.28486988849630934
152,0.2864897597503435
153,0.28721383970959424
154,0.2871712776417489
155,0.2889076398246506
156,0.2893367291718129
157,0.28978728637737894
158,0.29020671091179373
159,0.29076888387519545
160,0.290735131326934
161,0.2916398492023142
162,0.29257835115765246
163,0.2946116283622605
164,0.2953295502107341
165,0.29732014828648384
166,0.29924565855249186
167,0.2999515635320184
168,0.2998988234755275
169,0.29986840657060365
170,0.30054895210783267
171,0.30048047465713346
172,0.3017846999691809
173,0.30338938976956303
174,0.3046023125364076
175,0.30489660768100363
176,0.3048993761508233
177,0.3065695386428708
178,0.30762354793993857
179,0.3084911888566814
180,0.30940416031108936
181,0.31186418603962174
182,0.3118706322700445
183,0.3118024541719525
184,0.31306780640971915
185,0.3133590224989266
186,0.31346635055798316
187,0.31389017985219003
188,0.3154106660406264
189,0.3164910611317879
190,0.31737982778966906
191,0.3210490669927465
192,0.3220794701985019
193,0.3221185030984537
194,0.32497996067327106
195,0.32507291980718106
196,0.3256948777627108
197,0.3262243357626089
198,0.3262632831332443
199,0.32674989094565143
200,0.32683771832058045
201,0.326995979087523
202,0.3274296014884518
203,0.3274546075805223
204,0.32740220964129674
205,0.33212405814068396
206,0.33493347112650285
207,0.334964036624136
208,0.3361910289635201
209,0.3361423943142139
210,0.3364749638278762
211,0.3364068712591005
212,0.33729995714745725
213,0.33783916548941917
214,0.33829609462905313
215,0.33877350803995276
216,0.33881574828926764
217,0.3388868546828503
218,0.33888910997677196
219,0.339020557303039
220,0.33919087770358675
221,0.34110197627979
222,0.343597924321189
223,0.34364606609333204
224,0.3445243981746185
225,0.34542573764200296
226,0.34552284494775587
227,0.34685670616791825
228,0.34690698617296994
229,0.34703347279888874
230,0.3507905506098568
231,0.3507477747187206
232,0.3507082917062638
233,0.35205455467729685
234,0.35250737840974605
235,0.3526071798889639
236,0.35279323768371995
237,0.3527818510516838
238,0.35397818113115675
239,0.3539254410746658
240,0.3588017127547214
241,0.359143177317284
242,0.3595506277474099
243,0.3620091994775644
244,0.362162328485526
245,0.36211732883216463
246,0.36208058275783106
247,0.3643057449836685
248,0.3647019910733527
249,0.3646826929795543
250,0.3646132319417171
251,0.3651839578367537
252,0.3651148389161819
253,0.36505889151032783
