topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19
0.3027712220913734,0.3747165245530758,0.0,0.0,0.0,0.26629180557843235,0.0,0.0,0.0,0.03955029073163088,0.0,0.14068932326132474,0.05702358772327579,0.27459396715558965,0.159979276866484,0.05267507179398623,0.12532614143326126,0.0,0.1803358142898679,0.0
0.014291226984672065,0.01428751590593683,0.014286194061296064,0.014289529255771729,0.014292042545936898,0.014292717657681961,0.014286961493596201,0.01428837924225762,0.01428667052018556,0.871398762332665,0.014289255363543672,0.36777390737622956,0.014288093586885082,0.517924088235272,0.014289322557284032,0.014285758050686503,0.014286466485392333,0.014287562991024226,0.014288536284897081,0.014287009068785533
0.010003603973705793,0.01000103157352485,0.010000242780423519,0.010002107469439627,0.01000260490867199,0.010002861322356085,0.010001186168273845,0.010001665654823935,0.010000522192489408,0.909984173956291,0.010000580716267703,0.01000285201714085,0.010002666859519338,0.2378676433524808,0.6821187683508623,0.010000042263937857,0.010001256697020223,0.01000155357784061,0.010002693135084896,0.010001943029845476
0.4817663222212428,0.012500864907595343,0.012500214014943622,0.01250141371397171,0.01250282634219577,0.012507213362404694,0.012500635073058779,0.012501789854498676,0.012500260257954093,0.4182184602521345,0.01250290093369934,0.01250697384897927,0.012501363771732098,0.6198933064507387,0.2800893511239079,0.01250030297162791,0.01250073291910543,0.012501134264968515,0.01250078611340638,0.012503147601834196
0.010054677993974054,0.018544421964626443,0.011262464501819414,0.0,0.1754315960401965,0.011000994512647095,0.0,0.19124030543206139,0.0,0.5803525299273026,0.0,0.15450784762411812,0.10533049192114766,0.0264508954771705,0.262607481734536,0.10603549881232771,0.0629741716861519,0.20880554172093135,0.0,0.07164817215641021
0.0,0.7153999197063369,0.0,0.0,0.0,0.21186766992479703,0.0,0.0,0.0,0.0,0.1407922624074964,0.012500454993239991,0.012501696191509372,0.6627446058343296,0.01250331984949017,0.012501425233919498,0.012500772091347817,0.10895268325691448,0.01250077403031727,0.012502006111435635
0.08459420418391711,0.03640982530280822,0.0,0.0,0.15206724764845855,0.0,0.0,0.11045060956200498,0.0,0.6093344730282787,0.0,0.0,0.0,0.07071160435671492,0.647411661076236,0.09859115849775403,0.0,0.07625506707741604,0.09967653992786682,0.0
0.011114529282808564,0.011113021863386408,0.14192416651262013,0.13560033856205442,0.3788624300707673,0.27693970773907534,0.011111283252412814,0.011111420197571569,0.01111131698078847,0.011111785538514794,0.012503801489351575,0.012501267579391689,0.012500208382195411,0.48301172102823464,0.012501683406135439,0.2872201513586974,0.14225859772741192,0.012501171767379365,0.012500049627026895,0.012501347634175704
0.025404371630920648,0.0,0.0,0.0,0.8317850772695543,0.0,0.0,0.07471648254370554,0.04873679157052436,0.0,0.0,0.11000688244657157,0.0,0.6090282776606445,0.12740466233747144,0.13355626604596713,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.07828903816221228,0.0,0.0,0.24485420944515893,0.0,0.663891411020553,0.0,0.059160346918233936,0.0,0.09315524346494063,0.42996468376227553,0.03713962827812222,0.0,0.17378049233899884,0.1755601715803724,0.025355593695654526
